,index,mAP@25,mAP@50,mAP@75,name
0,0,0.9537803945121436,0.9537803945121436,0.9369687962834105,Right_Scissors
1,1,0.9835093468583853,0.9835093468583853,0.9835093468583853,Left_Scissors
2,2,0.9861965603573422,0.9544026475063493,0.9532371094197024,Right_Needle_driver
3,3,0.9747488886815973,0.9747488886815973,0.9335433332513938,Left_Needle_driver
4,4,0.9556022564398323,0.9556022564398323,0.942435259164092,Right_Forceps
5,5,0.9897179159431474,0.9897179159431474,0.9897179159431474,Left_Forceps
6,6,0.9708617065681954,0.957732299912222,0.9425929402140871,Right_Empty
7,7,0.9431449540805115,0.9431449540805115,0.8915343337526197,Left_Empty
