,index,mAP@25,mAP@50,mAP@75,name
0,0,0.9345439701762418,0.9345439701762418,0.9218450225738288,Right_Scissors
1,1,0.975590801458573,0.975590801458573,0.9555656638232087,Left_Scissors
2,2,0.9730593370466823,0.9486164554400951,0.8757850076714457,Right_Needle_driver
3,3,0.9280243877032887,0.9280243877032887,0.7659663589335619,Left_Needle_driver
4,4,0.9332835122542669,0.9332835122542669,0.9002287193228122,Right_Forceps
5,5,0.9807591575091575,0.9807591575091575,0.9596790449198102,Left_Forceps
6,6,0.9630314048783291,0.9494197059532996,0.9008183073609515,Right_Empty
7,7,0.9034222024449,0.9034222024449,0.8191862167091415,Left_Empty
